图层类型,文件路径,文件名,年份,格式,投影_CRS,空间范围_WGS84,分辨率,波段数,数据类型,nodata,行列或尺寸,表格结构,建议用途,是否需要预处理,预处理建议,备注
夜间灯光_LongNTL_500m,data/raw/智能体数据集_黄河滩区边界裁剪结果/智能体数据集_黄河滩区边界裁剪结果_最终/2.夜间灯光_LongNTL_500m/LongNTL_2015_黄河滩区中下游边界.tif,LongNTL_2015_黄河滩区中下游边界.tif,2015,GeoTIFF,EPSG:4326,"112.208487,34.440429,116.659639,36.169686",0.004491576421;0.004491576421,1,float32,-3.4028234663852886e+38,991x385,,人类活动强度、城镇化水平、开发压力、适应力指标,是,统一投影、范围和目标网格；连续数据按目标分辨率重采样；必要时标准化并转换为 COG,
夜间灯光_LongNTL_500m,data/raw/智能体数据集_黄河滩区边界裁剪结果/智能体数据集_黄河滩区边界裁剪结果_最终/2.夜间灯光_LongNTL_500m/LongNTL_2020_黄河滩区中下游边界.tif,LongNTL_2020_黄河滩区中下游边界.tif,2020,GeoTIFF,EPSG:4326,"112.208487,34.440429,116.659639,36.169686",0.004491576421;0.004491576421,1,float32,-3.4028234663852886e+38,991x385,,人类活动强度、城镇化水平、开发压力、适应力指标,是,统一投影、范围和目标网格；连续数据按目标分辨率重采样；必要时标准化并转换为 COG,
夜间灯光_LongNTL_500m,data/raw/智能体数据集_黄河滩区边界裁剪结果/智能体数据集_黄河滩区边界裁剪结果_最终/2.夜间灯光_LongNTL_500m/LongNTL_2024_黄河滩区中下游边界.tif,LongNTL_2024_黄河滩区中下游边界.tif,2024,GeoTIFF,EPSG:4326,"112.208562,34.436916,116.659714,36.170665",0.0044915764206;0.0044915764206,1,float32,-3.4028234663852886e+38,991x386,,人类活动强度、城镇化水平、开发压力、适应力指标,是,统一投影、范围和目标网格；连续数据按目标分辨率重采样；必要时标准化并转换为 COG,
DEM_NASA_30m,data/raw/智能体数据集_黄河滩区边界裁剪结果/智能体数据集_黄河滩区边界裁剪结果_最终/3.DEM_NASA_30m/DEM_黄河滩区中下游边界.tif,DEM_黄河滩区中下游边界.tif,,GeoTIFF,EPSG:4326,"112.207917,34.436528,116.663472,36.172917",0.000277777777778;0.000277777777778,1,int16,-9999.0,16040x6251,,三维地形底座、坡度坡向、地形约束、洪水暴露分析,是,统一投影、范围和目标网格；连续数据按目标分辨率重采样；必要时标准化并转换为 COG,
人口_LandScan_1km,data/raw/智能体数据集_黄河滩区边界裁剪结果/智能体数据集_黄河滩区边界裁剪结果_最终/3.人口_LandScan_1km/LandScan_2000_黄河滩区中下游边界.tif,LandScan_2000_黄河滩区中下游边界.tif,2000,GeoTIFF,EPSG:4326,"112.208333,34.441667,116.658333,36.166667",0.00833333333333;0.00833333333333,1,int32,-2147483647.0,534x207,,人口暴露度、人口密度、社会经济适应力,是,统一投影、范围和目标网格；连续数据按目标分辨率重采样；必要时标准化并转换为 COG,
人口_LandScan_1km,data/raw/智能体数据集_黄河滩区边界裁剪结果/智能体数据集_黄河滩区边界裁剪结果_最终/3.人口_LandScan_1km/LandScan_2005_黄河滩区中下游边界.tif,LandScan_2005_黄河滩区中下游边界.tif,2005,GeoTIFF,EPSG:4326,"112.208333,34.441667,116.658333,36.166667",0.00833333333333;0.00833333333333,1,int32,-2147483647.0,534x207,,人口暴露度、人口密度、社会经济适应力,是,统一投影、范围和目标网格；连续数据按目标分辨率重采样；必要时标准化并转换为 COG,
人口_LandScan_1km,data/raw/智能体数据集_黄河滩区边界裁剪结果/智能体数据集_黄河滩区边界裁剪结果_最终/3.人口_LandScan_1km/LandScan_2010_黄河滩区中下游边界.tif,LandScan_2010_黄河滩区中下游边界.tif,2010,GeoTIFF,EPSG:4326,"112.208333,34.441667,116.658333,36.166667",0.00833333333333;0.00833333333333,1,int32,-2147483647.0,534x207,,人口暴露度、人口密度、社会经济适应力,是,统一投影、范围和目标网格；连续数据按目标分辨率重采样；必要时标准化并转换为 COG,
人口_LandScan_1km,data/raw/智能体数据集_黄河滩区边界裁剪结果/智能体数据集_黄河滩区边界裁剪结果_最终/3.人口_LandScan_1km/LandScan_2015_黄河滩区中下游边界.tif,LandScan_2015_黄河滩区中下游边界.tif,2015,GeoTIFF,EPSG:4326,"112.208333,34.441667,116.658333,36.166667",0.00833333333333;0.00833333333333,1,int32,-2147483647.0,534x207,,人口暴露度、人口密度、社会经济适应力,是,统一投影、范围和目标网格；连续数据按目标分辨率重采样；必要时标准化并转换为 COG,
人口_LandScan_1km,data/raw/智能体数据集_黄河滩区边界裁剪结果/智能体数据集_黄河滩区边界裁剪结果_最终/3.人口_LandScan_1km/LandScan_2020_黄河滩区中下游边界.tif,LandScan_2020_黄河滩区中下游边界.tif,2020,GeoTIFF,EPSG:4326,"112.208333,34.441667,116.658333,36.166667",0.00833333333333;0.00833333333333,1,int32,-2147483647.0,534x207,,人口暴露度、人口密度、社会经济适应力,是,统一投影、范围和目标网格；连续数据按目标分辨率重采样；必要时标准化并转换为 COG,
人口_LandScan_1km,data/raw/智能体数据集_黄河滩区边界裁剪结果/智能体数据集_黄河滩区边界裁剪结果_最终/3.人口_LandScan_1km/LandScan_2024_黄河滩区中下游边界.tif,LandScan_2024_黄河滩区中下游边界.tif,2024,GeoTIFF,"PROJCS[""Albers"",GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4326""]],PROJECTION[""Albers_Conic_Equal_Area""],PARAMETER[""latitude_of_center"",0],PARAMETER[""longitude_of_center"",105],PARAMETER[""standard_parallel_1"",25],PARAMETER[""standard_parallel_2"",47],PARAMETER[""false_easting"",0],PARAMETER[""false_northing"",0],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH]]","112.177905,34.242026,116.676793,36.452719",1002.51793996;1002.51793996,1,int32,-2147483647.0,382x214,,人口暴露度、人口密度、社会经济适应力,是,统一投影、范围和目标网格；连续数据按目标分辨率重采样；必要时标准化并转换为 COG,
GDP_1km,data/raw/智能体数据集_黄河滩区边界裁剪结果/智能体数据集_黄河滩区边界裁剪结果_最终/4.GDP_1km/GDP_2000_黄河滩区中下游边界.tif,GDP_2000_黄河滩区中下游边界.tif,2000,GeoTIFF,"PROJCS[""Krasovsky_1940_Albers"",GEOGCS[""Unknown datum based upon the Krassowsky 1940 ellipsoid"",DATUM[""Not_specified_based_on_Krassowsky_1940_ellipsoid"",SPHEROID[""Krassowsky 1940"",6378245,298.3,AUTHORITY[""EPSG"",""7024""]],AUTHORITY[""EPSG"",""6024""]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4024""]],PROJECTION[""Albers_Conic_Equal_Area""],PARAMETER[""latitude_of_center"",0],PARAMETER[""longitude_of_center"",105],PARAMETER[""standard_parallel_1"",25],PARAMETER[""standard_parallel_2"",47],PARAMETER[""false_easting"",0],PARAMETER[""false_northing"",0],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH]]","112.178720,34.243387,116.677341,36.449351",1000;1000,1,float32,-3.4028230607370965e+38,383x214,,经济发展水平、社会经济适应力、区域发展差异,是,统一投影、范围和目标网格；连续数据按目标分辨率重采样；必要时标准化并转换为 COG,
GDP_1km,data/raw/智能体数据集_黄河滩区边界裁剪结果/智能体数据集_黄河滩区边界裁剪结果_最终/4.GDP_1km/GDP_2005_黄河滩区中下游边界.tif,GDP_2005_黄河滩区中下游边界.tif,2005,GeoTIFF,"PROJCS[""Krasovsky_1940_Albers"",GEOGCS[""Unknown datum based upon the Krassowsky 1940 ellipsoid"",DATUM[""Not_specified_based_on_Krassowsky_1940_ellipsoid"",SPHEROID[""Krassowsky 1940"",6378245,298.3,AUTHORITY[""EPSG"",""7024""]],AUTHORITY[""EPSG"",""6024""]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4024""]],PROJECTION[""Albers_Conic_Equal_Area""],PARAMETER[""latitude_of_center"",0],PARAMETER[""longitude_of_center"",105],PARAMETER[""standard_parallel_1"",25],PARAMETER[""standard_parallel_2"",47],PARAMETER[""false_easting"",0],PARAMETER[""false_northing"",0],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH]]","112.184705,34.243852,116.672185,36.448996",1000;1000,1,float32,-3.4028230607370965e+38,382x214,,经济发展水平、社会经济适应力、区域发展差异,是,统一投影、范围和目标网格；连续数据按目标分辨率重采样；必要时标准化并转换为 COG,
GDP_1km,data/raw/智能体数据集_黄河滩区边界裁剪结果/智能体数据集_黄河滩区边界裁剪结果_最终/4.GDP_1km/GDP_2010_黄河滩区中下游边界.tif,GDP_2010_黄河滩区中下游边界.tif,2010,GeoTIFF,"PROJCS[""Krasovsky_1940_Albers"",GEOGCS[""Unknown datum based upon the Krassowsky 1940 ellipsoid"",DATUM[""Not_specified_based_on_Krassowsky_1940_ellipsoid"",SPHEROID[""Krassowsky 1940"",6378245,298.3,AUTHORITY[""EPSG"",""7024""]],AUTHORITY[""EPSG"",""6024""]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4024""]],PROJECTION[""Albers_Conic_Equal_Area""],PARAMETER[""latitude_of_center"",0],PARAMETER[""longitude_of_center"",105],PARAMETER[""standard_parallel_1"",25],PARAMETER[""standard_parallel_2"",47],PARAMETER[""false_easting"",0],PARAMETER[""false_northing"",0],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH]]","112.178720,34.243387,116.677341,36.449351",1000;1000,1,float32,-3.4028230607370965e+38,383x214,,经济发展水平、社会经济适应力、区域发展差异,是,统一投影、范围和目标网格；连续数据按目标分辨率重采样；必要时标准化并转换为 COG,
GDP_1km,data/raw/智能体数据集_黄河滩区边界裁剪结果/智能体数据集_黄河滩区边界裁剪结果_最终/4.GDP_1km/GDP_2015_黄河滩区中下游边界.tif,GDP_2015_黄河滩区中下游边界.tif,2015,GeoTIFF,"PROJCS[""Krasovsky_1940_Albers"",GEOGCS[""Unknown datum based upon the Krassowsky 1940 ellipsoid"",DATUM[""Not_specified_based_on_Krassowsky_1940_ellipsoid"",SPHEROID[""Krassowsky 1940"",6378245,298.3,AUTHORITY[""EPSG"",""7024""]],AUTHORITY[""EPSG"",""6024""]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4024""]],PROJECTION[""Albers_Conic_Equal_Area""],PARAMETER[""latitude_of_center"",0],PARAMETER[""longitude_of_center"",105],PARAMETER[""standard_parallel_1"",25],PARAMETER[""standard_parallel_2"",47],PARAMETER[""false_easting"",0],PARAMETER[""false_northing"",0],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH]]","112.188119,34.239492,116.676746,36.453572",1000;1000,1,int32,-2147483647.0,382x215,,经济发展水平、社会经济适应力、区域发展差异,是,统一投影、范围和目标网格；连续数据按目标分辨率重采样；必要时标准化并转换为 COG,
GDP_1km,data/raw/智能体数据集_黄河滩区边界裁剪结果/智能体数据集_黄河滩区边界裁剪结果_最终/4.GDP_1km/GDP_2020_黄河滩区中下游边界.tif,GDP_2020_黄河滩区中下游边界.tif,2020,GeoTIFF,"PROJCS[""Krasovsky_1940_Albers"",GEOGCS[""Unknown datum based upon the Krassowsky 1940 ellipsoid"",DATUM[""Not_specified_based_on_Krassowsky_1940_ellipsoid"",SPHEROID[""Krassowsky 1940"",6378245,298.3,AUTHORITY[""EPSG"",""7024""]],AUTHORITY[""EPSG"",""6024""]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4024""]],PROJECTION[""Albers_Conic_Equal_Area""],PARAMETER[""latitude_of_center"",0],PARAMETER[""longitude_of_center"",105],PARAMETER[""standard_parallel_1"",25],PARAMETER[""standard_parallel_2"",47],PARAMETER[""false_easting"",0],PARAMETER[""false_northing"",0],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH]]","112.184030,34.238762,116.672528,36.452708",1000;1000,1,int32,-2147483647.0,382x215,,经济发展水平、社会经济适应力、区域发展差异,是,统一投影、范围和目标网格；连续数据按目标分辨率重采样；必要时标准化并转换为 COG,
GDP_1km,data/raw/智能体数据集_黄河滩区边界裁剪结果/智能体数据集_黄河滩区边界裁剪结果_最终/4.GDP_1km/GDP_2023_黄河滩区中下游边界.tif,GDP_2023_黄河滩区中下游边界.tif,2023,GeoTIFF,"PROJCS[""Krasovsky_1940_Albers"",GEOGCS[""Unknown datum based upon the Krassowsky 1940 ellipsoid"",DATUM[""Not_specified_based_on_Krassowsky_1940_ellipsoid"",SPHEROID[""Krassowsky 1940"",6378245,298.3,AUTHORITY[""EPSG"",""7024""]],AUTHORITY[""EPSG"",""6024""]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4024""]],PROJECTION[""Albers_Conic_Equal_Area""],PARAMETER[""latitude_of_center"",0],PARAMETER[""longitude_of_center"",105],PARAMETER[""standard_parallel_1"",25],PARAMETER[""standard_parallel_2"",47],PARAMETER[""false_easting"",0],PARAMETER[""false_northing"",0],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH]]","112.178255,34.238277,116.677898,36.453051",1000;1000,1,int32,-2147483647.0,383x215,,经济发展水平、社会经济适应力、区域发展差异,是,统一投影、范围和目标网格；连续数据按目标分辨率重采样；必要时标准化并转换为 COG,
NDVI_MODIS_250m,data/raw/智能体数据集_黄河滩区边界裁剪结果/智能体数据集_黄河滩区边界裁剪结果_最终/5.NDVI_250m/MODIS_NDVI_AnnualMean_2000.tif,MODIS_NDVI_AnnualMean_2000.tif,2000,GeoTIFF,EPSG:4326,"112.206316,34.434671,116.664206,36.175156",0.0022457882103;0.0022457882103,1,float32,,1985x775,,植被覆盖、生态质量、稳定性、恢复力趋势,是,统一投影、范围和目标网格；连续数据按目标分辨率重采样；必要时标准化并转换为 COG,
NDVI_MODIS_250m,data/raw/智能体数据集_黄河滩区边界裁剪结果/智能体数据集_黄河滩区边界裁剪结果_最终/5.NDVI_250m/MODIS_NDVI_AnnualMean_2005.tif,MODIS_NDVI_AnnualMean_2005.tif,2005,GeoTIFF,EPSG:4326,"112.206316,34.434671,116.664206,36.175156",0.0022457882103;0.0022457882103,1,float32,,1985x775,,植被覆盖、生态质量、稳定性、恢复力趋势,是,统一投影、范围和目标网格；连续数据按目标分辨率重采样；必要时标准化并转换为 COG,
NDVI_MODIS_250m,data/raw/智能体数据集_黄河滩区边界裁剪结果/智能体数据集_黄河滩区边界裁剪结果_最终/5.NDVI_250m/MODIS_NDVI_AnnualMean_2010.tif,MODIS_NDVI_AnnualMean_2010.tif,2010,GeoTIFF,EPSG:4326,"112.206316,34.434671,116.664206,36.175156",0.0022457882103;0.0022457882103,1,float32,,1985x775,,植被覆盖、生态质量、稳定性、恢复力趋势,是,统一投影、范围和目标网格；连续数据按目标分辨率重采样；必要时标准化并转换为 COG,
NDVI_MODIS_250m,data/raw/智能体数据集_黄河滩区边界裁剪结果/智能体数据集_黄河滩区边界裁剪结果_最终/5.NDVI_250m/MODIS_NDVI_AnnualMean_2015.tif,MODIS_NDVI_AnnualMean_2015.tif,2015,GeoTIFF,EPSG:4326,"112.206316,34.434671,116.664206,36.175156",0.0022457882103;0.0022457882103,1,float32,,1985x775,,植被覆盖、生态质量、稳定性、恢复力趋势,是,统一投影、范围和目标网格；连续数据按目标分辨率重采样；必要时标准化并转换为 COG,
NDVI_MODIS_250m,data/raw/智能体数据集_黄河滩区边界裁剪结果/智能体数据集_黄河滩区边界裁剪结果_最终/5.NDVI_250m/MODIS_NDVI_AnnualMean_2020.tif,MODIS_NDVI_AnnualMean_2020.tif,2020,GeoTIFF,EPSG:4326,"112.206316,34.434671,116.664206,36.175156",0.0022457882103;0.0022457882103,1,float32,,1985x775,,植被覆盖、生态质量、稳定性、恢复力趋势,是,统一投影、范围和目标网格；连续数据按目标分辨率重采样；必要时标准化并转换为 COG,
NDVI_MODIS_250m,data/raw/智能体数据集_黄河滩区边界裁剪结果/智能体数据集_黄河滩区边界裁剪结果_最终/5.NDVI_250m/MODIS_NDVI_AnnualMean_2025.tif,MODIS_NDVI_AnnualMean_2025.tif,2025,GeoTIFF,EPSG:4326,"112.206316,34.434671,116.664206,36.175156",0.0022457882103;0.0022457882103,1,float32,,1985x775,,植被覆盖、生态质量、稳定性、恢复力趋势,是,统一投影、范围和目标网格；连续数据按目标分辨率重采样；必要时标准化并转换为 COG,
EVI_MODIS_250m,data/raw/智能体数据集_黄河滩区边界裁剪结果/智能体数据集_黄河滩区边界裁剪结果_最终/6.EVI_250m/MODIS_EVI_AnnualMean_2000.tif,MODIS_EVI_AnnualMean_2000.tif,2000,GeoTIFF,EPSG:4326,"112.206316,34.434671,116.664206,36.175156",0.0022457882103;0.0022457882103,1,float32,,1985x775,,植被活力、生态恢复、生态质量评价,是,统一投影、范围和目标网格；连续数据按目标分辨率重采样；必要时标准化并转换为 COG,
